"";"SIGLA_UF";"SIGLA_PARTIDO";"PROP_VOTOS";"TAMANHO_COLIGACAO"
"1";"AC";"PSDB";0,290901574655192;10
"2";"AC";"PT";0,27970736718153;14
"3";"AL";"PSDB";0,221228829912822;2
"4";"AL";"PT";0,499319634262623;11
"5";"AM";"PSDB";0,194302951257061;16
"6";"AM";"PT";0,545107988434384;10
"7";"AP";"PSDB";0,254428271119792;4
"8";"AP";"PT";0,510822666382614;4
"9";"BA";"PSDB";0,182816602825753;14
"10";"BA";"PT";0,614322412189109;8
"11";"CE";"PSDB";0,149836196440438;9
"12";"CE";"PT";0,682780116249114;18
"13";"DF";"PSDB";0,361142551839219;3
"14";"DF";"PT";0,230336673224907;16
"15";"ES";"PSDB";0,351378155055226;7
"16";"ES";"PT";0,331003755337105;2
"17";"GO";"PSDB";0,415506046788263;16
"18";"GO";"PT";0,320898282613006;1
"19";"MA";"PSDB";0,116245282616982;9
"20";"MA";"PT";0,695543255274838;18
"21";"MG";"PSDB";0,39754290353402;14
"22";"MG";"PT";0,434705929674504;5
"23";"MS";"PSDB";0,413269260350479;6
"24";"MS";"PT";0,374988907032054;12
"25";"MT";"PSDB";0,444823383146781;13
"26";"MT";"PT";0,395231784172929;5
"27";"PA";"PSDB";0,27569518777175;15
"28";"PA";"PT";0,531673970630796;11
"29";"PB";"PSDB";0,233923874041064;14
"30";"PB";"PT";0,555962399663429;11
"31";"PE";"PSDB";0,0593062469288338;21
"32";"PE";"PT";0,442125301088617;6
"33";"PI";"PSDB";0,13844180959108;17
"34";"PI";"PT";0,7059568792303;8
"35";"PR";"PSDB";0,498031268972891;17
"36";"PR";"PT";0,325224774171093;5
"37";"RJ";"PSDB";0,269533124847092;18
"38";"RJ";"PT";0,356045170474763;4
"39";"RN";"PSDB";0,198366526159246;17
"40";"RN";"PT";0,600404944868156;8
"41";"RO";"PSDB";0,449073448019396;10
"42";"RO";"PT";0,416918206492867;1
"43";"RR";"PSDB";0,436252079866889;20
"44";"RR";"PT";0,331746768206835;5
"45";"RS";"PSDB";0,414271912343407;4
"46";"RS";"PT";0,431916605956206;7
"47";"SC";"PSDB";0,528991650174165;12
"48";"SC";"PT";0,307384681112186;1
"49";"SE";"PSDB";0,226979786283726;15
"50";"SE";"PT";0,549063405901241;11
"51";"SP";"PSDB";0,442374083413445;14
"52";"SP";"PT";0,258075065103385;3
"53";"TO";"PSDB";0,276900580013519;17
"54";"TO";"PT";0,502102821569525;4
